Aktivitet,3D-printer,Keramik,Laser,Metall,Modelljvg,Textil,Trä,Vinylskärare,Annat:
,,1,1,,,,1,1,
,1,1,1,1,1,1,1,1,
,1,1,,,,,,,
,1,,,,,,,,
,1,,1,,1,,1,1,Laga mat
,1,1,,1,,,1,,
,1,,,,,,,,Kodning på flera olika kodspråk
,1,1,1,1,1,,1,1,
,1,,1,,,,1,1,
,1,,,,,,,,Arduino
,1,,1,,1,,,1,1?
,1,,1,1,1,,1,,
,1,,,,1,,,,Oljemålning vore kul :)
,1,,1,,,,,1,
,,1,,,,1,,,
,1,,,,,,,,"Support för flera olika kodspråk, t.ex. Lua eller Python"
,1,,,,,,,,Mer kodspråk
,1,,1,,,,1,,
,1,,1,1,1,,,1,
,1,,,,,,,,"Jag behöver inge mer, jag är jättenöjd :)"
,1,,1,,1,,,,En stor 3D-skrivare
,,,,1,,,,,
,1,,1,,,,,1,
,1,,,,,,,,
,1,,1,,,,,,
,,,1,,,,,,
,1,,,,,,,,"Teachin how to program games in processing and Blender and Arduino, Mera om how ro make games"
,1,,1,,1,,,,
,,,,,,,,,Processing
,1,,,,1,,,,
,1,,,,1,,,1,
,,,1,,1,,,1,Nåt med Biologi :)
,,,,,,,,,
,26,6,16,6,12,2,8,11,